input,output
Translate Bangla to English তোমরা সবাই তৈরী?,are you all ready?
Translate Bangla to English এটা কখনোই শেষ হবে না।,this is never going to end.
Translate English to Bangla: i'm pretty sure tom wasn't there.,আমি একদম নিশ্চিত টম সেখানে ছিল না।
Translate Bangla to English টম বিবাহিত।,tom is married.
Translate Bangla to Sylheti: মৌলভী,মলই
Translate English to Bangla: they need friends.,ওদের বন্ধু লাগবে।
Translate Sylheti to Bangla: বারো বছরে তোমরা কেউরে দেখছি না সরল,বারো বছরে তোমাদের কাউকে দেখিনি সরল।
Translate Sylheti to Bangla: গিলফি,ঠাট্টা
Translate Bangla to Sylheti: ভুট্টা,মকই
Translate Bangla to Sylheti: বাড়িতে পাঠাবো কাজী,বাড়িত পাঠাইরাম কাজী
Translate English to Bangla: i had my money stolen.,আমার টাকা চুরি হয়ে গেছে।
Translate English to Bangla: tom flew to boston yesterday.,টম গতকাল বস্টন উড়ে গেছে।
Translate English to Bangla: how old is your father?,আপনার বাবার বয়স কত?
Translate Bangla to Sylheti: তবুও,তেওতো
Translate English to Bangla: money does not grow on trees.,টাকা গাছে ফলে না।
Translate Bangla to English তুমি কি এই পাড়াতেই থাকো?,do you live in this neighborhood?
Translate Bangla to Sylheti: সূর্য,আতাব
Translate Bangla to English আমি ক্ষমা চাইছি।,i apologize.
Translate Sylheti to Bangla: ছিংগল,বেত
Translate Bangla to Sylheti: তোমার সাথে একটু কথা ছিল,থুড়া মাত আছিল নু তোমার লগে
Translate Bangla to Sylheti: র‌্যাপ গান গেয়ে নাম কামিয়েছি,র‌্যাপ গান গাইয়া নাম খামাইসি
Translate Sylheti to Bangla: চাকারি,দলা
Translate English to Bangla: i was a physics professor.,আমি পদার্থবিজ্ঞানের অধ্যাপক ছিলাম।
Translate Bangla to English আপনি ফোন করেছিলেন?,you called?
Translate English to Bangla: i'll arrange it.,আমি সেটা ব্যবস্থা করে দেবো।
Translate Bangla to English টম যখন খবরের কাগজ পড়ছিল তখন মেরি ঘরে ঢুকল।,tom was reading the newspaper when mary walked in.
Translate Bangla to English জীবনে চড়াই উতরাই আছে।,in life there are ups and downs.
Translate English to Bangla: start now.,এখন শুরু করেন।
Translate English to Bangla: there was an earthquake yesterday.,গতকাল ভূমিকম্প হয়েছে।
Translate Bangla to English আমি যা বলতে চাইছি তুমি কি তা বুঝতে পারছো?,do you understand what i mean?
Translate Sylheti to Bangla: নাতিনশায়,নাতিনাতকুর
Translate Sylheti to Bangla: উয়াশ,আরাম
Translate English to Bangla: this product was made in china.,এই পন্যটি চায়নায় তৈরি।
Translate Sylheti to Bangla: অমদি,এদিকে
Translate Sylheti to Bangla: ছিক দিয়া,শিস দিয়ে
Translate Sylheti to Bangla: কুনিবেং,ঘরের ব্যাঙ
Translate English to Bangla: i don't use facebook.,আমি ফেসবুক ব্যবহার করি না।
Translate Bangla to English টম তার মালিকানাধীন সবকিছু হারিয়েছে।,tom lost everything he owned.
Translate Bangla to Sylheti: বিবেক,অকুপ
Translate Sylheti to Bangla: নাটামাল,নষ্ট মাল
Translate Bangla to English আমি ত্রিশ মিনিটের মধ্যে ফিরে আসবো।,i'll be back in 30 minutes.
Translate Bangla to Sylheti: এইটা বুঝছেন আমাদের জাফর ইকবাল স্যারে,ইতা বুঝইন আমরার জাফর ইকবাল স্যারে
Translate English to Bangla: don't leave me alone.,আমাকে একলা ছেড়ে যাবেন না।
Translate Bangla to Sylheti: এই যে,ওরেবো
Translate Sylheti to Bangla: দামান্দ,বর
Translate Bangla to Sylheti: সূতা,আউস
Translate Bangla to Sylheti: চালাক,সিয়ানা
Translate Bangla to English তোমার কাছে কোনো প্রমাণ নেই।,you don't have any proof.
Translate English to Bangla: get tom.,টমকে ধরুন।
Translate Sylheti to Bangla: তুকা,খোঁজ
Translate Bangla to English আমি কি এটা পরে দেখতে পারি?,can i try it on?
Translate English to Bangla: it's driving me crazy.,এটা আমাকে পাগল করে দিচ্ছে।
Translate English to Bangla: he speaks french.,ও ফরাসিতে কথা বলে।
Translate Sylheti to Bangla: খেতা,কাঁথা
Translate Sylheti to Bangla: ইতা খিতা কইন আফনার বাড়িত আইচ্চি,এসব কি বলেন আপনার বাড়িতে এসেছি
Translate Sylheti to Bangla: খাই খিলাইতে,খানাপিনাতে
Translate Bangla to Sylheti: জোয়ান,গাভুর
Translate Bangla to English টমের কম্পিউটারে ভাইরাস আক্রমণ করেছে।,a virus infected tom's computer.
Translate Bangla to English আপনার যেটা ইচ্ছা সেটা বেছে নিতে পারেন।,you may choose whichever you want.
Translate Sylheti to Bangla: উঁচানো,গরম করা
Translate English to Bangla: don't go.,যেও না।
